Day,Commodity,Profit
1,Gold,5517
1,Oil,-1499
1,Silver,-1727
1,Wheat,-328
1,Copper,2143
2,Gold,830
2,Oil,-751
2,Silver,-226
2,Wheat,-655
2,Copper,1576
3,Gold,1932
3,Oil,3514
3,Silver,3144
3,Wheat,1159
3,Copper,2932
4,Gold,2205
4,Oil,2105
4,Silver,-460
4,Wheat,2830
4,Copper,1191
5,Gold,5757
5,Oil,1632
5,Silver,-1612
5,Wheat,1744
5,Copper,-2254
6,Gold,3101
6,Oil,1925
6,Silver,3077
6,Wheat,514
6,Copper,-544
7,Gold,2174
7,Oil,-2660
7,Silver,3110
7,Wheat,-1825
7,Copper,953
8,Gold,2713
8,Oil,-1591
8,Silver,184
8,Wheat,-459
8,Copper,1139
9,Gold,1388
9,Oil,978
9,Silver,2138
9,Wheat,-1480
9,Copper,-1098
10,Gold,685
10,Oil,3468
10,Silver,2553
10,Wheat,652
10,Copper,-352
11,Gold,3572
11,Oil,2712
11,Silver,3868
11,Wheat,4037
11,Copper,-1059
12,Gold,4053
12,Oil,-2455
12,Silver,1731
12,Wheat,3497
12,Copper,3402
13,Gold,1163
13,Oil,-2306
13,Silver,4105
13,Wheat,1426
13,Copper,222
14,Gold,4583
14,Oil,-1530
14,Silver,-849
14,Wheat,3974
14,Copper,2624
15,Gold,1375
15,Oil,-2270
15,Silver,3456
15,Wheat,757
15,Copper,506
16,Gold,664
16,Oil,2097
16,Silver,-449
16,Wheat,-613
16,Copper,-1745
17,Gold,5403
17,Oil,-829
17,Silver,-442
17,Wheat,2085
17,Copper,-2453
18,Gold,-965
18,Oil,-1261
18,Silver,2115
18,Wheat,2268
18,Copper,3965
19,Gold,5330
19,Oil,-1408
19,Silver,190
19,Wheat,-754
19,Copper,-1449
20,Gold,5761
20,Oil,2492
20,Silver,2603
20,Wheat,10
20,Copper,1679
21,Gold,1241
21,Oil,-6463
21,Silver,-779
21,Wheat,1012
21,Copper,722
22,Gold,4488
22,Oil,2259
22,Silver,789
22,Wheat,3979
22,Copper,2795
23,Gold,4146
23,Oil,3462
23,Silver,2910
23,Wheat,4138
23,Copper,1105
24,Gold,3575
24,Oil,2107
24,Silver,-207
24,Wheat,1612
24,Copper,-187
25,Gold,3300
25,Oil,-1901
25,Silver,2892
25,Wheat,1409
25,Copper,4460
26,Gold,4650
26,Oil,1453
26,Silver,2816
26,Wheat,-1201
26,Copper,957
27,Gold,-711
27,Oil,3263
27,Silver,-1695
27,Wheat,3502
27,Copper,4299
28,Gold,-124
28,Oil,-4518
28,Silver,2935
28,Wheat,78
28,Copper,881
