Day,Commodity,Profit
1,Gold,1901
1,Oil,1129
1,Silver,-2405
1,Wheat,19
1,Copper,3798
2,Gold,-700
2,Oil,1280
2,Silver,2922
2,Wheat,1966
2,Copper,4205
3,Gold,4272
3,Oil,-1649
3,Silver,4148
3,Wheat,3734
3,Copper,1742
4,Gold,2561
4,Oil,1058
4,Silver,4104
4,Wheat,-1424
4,Copper,-2158
5,Gold,-400
5,Oil,-1145
5,Silver,4147
5,Wheat,-1233
5,Copper,1094
6,Gold,3543
6,Oil,1091
6,Silver,-2276
6,Wheat,106
6,Copper,874
7,Gold,1576
7,Oil,136
7,Silver,313
7,Wheat,885
7,Copper,2099
8,Gold,3379
8,Oil,1502
8,Silver,-337
8,Wheat,2702
8,Copper,147
9,Gold,2373
9,Oil,-1847
9,Silver,-1030
9,Wheat,3913
9,Copper,-464
10,Gold,2905
10,Oil,1448
10,Silver,3491
10,Wheat,3746
10,Copper,2187
11,Gold,3288
11,Oil,-1771
11,Silver,272
11,Wheat,-298
11,Copper,1955
12,Gold,1522
12,Oil,4097
12,Silver,3915
12,Wheat,1453
12,Copper,338
13,Gold,3416
13,Oil,4026
13,Silver,38
13,Wheat,3158
13,Copper,1854
14,Gold,1792
14,Oil,-1029
14,Silver,-1010
14,Wheat,274
14,Copper,-1889
15,Gold,-263
15,Oil,1253
15,Silver,1052
15,Wheat,1264
15,Copper,3970
16,Gold,2593
16,Oil,3496
16,Silver,3332
16,Wheat,2205
16,Copper,-829
17,Gold,2398
17,Oil,-672
17,Silver,3120
17,Wheat,3766
17,Copper,-515
18,Gold,5598
18,Oil,393
18,Silver,1262
18,Wheat,118
18,Copper,1069
19,Gold,5605
19,Oil,833
19,Silver,1802
19,Wheat,-1704
19,Copper,3948
20,Gold,-900
20,Oil,3324
20,Silver,389
20,Wheat,3482
20,Copper,3092
21,Gold,2486
21,Oil,241
21,Silver,3726
21,Wheat,-2316
21,Copper,4063
22,Gold,4358
22,Oil,-511
22,Silver,2956
22,Wheat,-2192
22,Copper,-1328
23,Gold,1957
23,Oil,2292
23,Silver,4481
23,Wheat,2641
23,Copper,-2499
24,Gold,499
24,Oil,4140
24,Silver,-2288
24,Wheat,-118
24,Copper,3055
25,Gold,2146
25,Oil,1606
25,Silver,2797
25,Wheat,-1024
25,Copper,-856
26,Gold,4552
26,Oil,214
26,Silver,101
26,Wheat,4326
26,Copper,296
27,Gold,2359
27,Oil,4163
27,Silver,-495
27,Wheat,4005
27,Copper,-917
28,Gold,2724
28,Oil,121
28,Silver,-2481
28,Wheat,-590
28,Copper,-627
