Day,Commodity,Profit
1,Gold,3038
1,Oil,4144
1,Silver,2917
1,Wheat,3221
1,Copper,1017
2,Gold,5355
2,Oil,1218
2,Silver,2760
2,Wheat,-359
2,Copper,-1787
3,Gold,2073
3,Oil,-383
3,Silver,-396
3,Wheat,3957
3,Copper,837
4,Gold,-940
4,Oil,1680
4,Silver,1869
4,Wheat,1843
4,Copper,133
5,Gold,2061
5,Oil,-137
5,Silver,-1196
5,Wheat,242
5,Copper,2346
6,Gold,283
6,Oil,-537
6,Silver,-1198
6,Wheat,4497
6,Copper,4459
7,Gold,1887
7,Oil,-520
7,Silver,-1540
7,Wheat,447
7,Copper,-944
8,Gold,938
8,Oil,866
8,Silver,2288
8,Wheat,-1332
8,Copper,396
9,Gold,5356
9,Oil,-2024
9,Silver,1129
9,Wheat,2698
9,Copper,2417
10,Gold,1842
10,Oil,4464
10,Silver,3310
10,Wheat,-1884
10,Copper,1742
11,Gold,4520
11,Oil,-2278
11,Silver,1571
11,Wheat,3020
11,Copper,3215
12,Gold,2870
12,Oil,-1805
12,Silver,-1189
12,Wheat,4465
12,Copper,-15
13,Gold,3840
13,Oil,-924
13,Silver,2932
13,Wheat,4380
13,Copper,3480
14,Gold,4924
14,Oil,-2311
14,Silver,-65
14,Wheat,-692
14,Copper,-22
15,Gold,5512
15,Oil,-1466
15,Silver,1913
15,Wheat,1106
15,Copper,-1224
16,Gold,5100
16,Oil,-1812
16,Silver,436
16,Wheat,-1891
16,Copper,-2326
17,Gold,367
17,Oil,4142
17,Silver,2123
17,Wheat,-1451
17,Copper,-2074
18,Gold,-369
18,Oil,3564
18,Silver,3568
18,Wheat,1715
18,Copper,-986
19,Gold,1709
19,Oil,3635
19,Silver,3296
19,Wheat,2403
19,Copper,146
20,Gold,5583
20,Oil,-1827
20,Silver,-2358
20,Wheat,-1854
20,Copper,3250
21,Gold,5574
21,Oil,-4279
21,Silver,632
21,Wheat,-1417
21,Copper,1110
22,Gold,1415
22,Oil,1285
22,Silver,995
22,Wheat,4439
22,Copper,-411
23,Gold,2784
23,Oil,-1211
23,Silver,-1446
23,Wheat,4286
23,Copper,-1793
24,Gold,4425
24,Oil,787
24,Silver,1972
24,Wheat,656
24,Copper,305
25,Gold,2219
25,Oil,3354
25,Silver,671
25,Wheat,-2052
25,Copper,-2490
26,Gold,4599
26,Oil,-443
26,Silver,2593
26,Wheat,-203
26,Copper,-440
27,Gold,-1036
27,Oil,-986
27,Silver,882
27,Wheat,3848
27,Copper,1083
28,Gold,5432
28,Oil,-3298
28,Silver,-1199
28,Wheat,-2146
28,Copper,4173
