Day,Commodity,Profit
1,Gold,-445
1,Oil,1554
1,Silver,-1149
1,Wheat,248
1,Copper,-611
2,Gold,565
2,Oil,-1161
2,Silver,-1167
2,Wheat,-139
2,Copper,-1271
3,Gold,3300
3,Oil,-1758
3,Silver,1756
3,Wheat,3199
3,Copper,-2473
4,Gold,100
4,Oil,-2474
4,Silver,2887
4,Wheat,1563
4,Copper,-986
5,Gold,5742
5,Oil,2476
5,Silver,4041
5,Wheat,4468
5,Copper,-1715
6,Gold,1064
6,Oil,1638
6,Silver,3644
6,Wheat,827
6,Copper,-1959
7,Gold,5375
7,Oil,-545
7,Silver,1275
7,Wheat,913
7,Copper,-1010
8,Gold,892
8,Oil,-991
8,Silver,-2277
8,Wheat,554
8,Copper,207
9,Gold,341
9,Oil,733
9,Silver,-1044
9,Wheat,-1042
9,Copper,2182
10,Gold,4470
10,Oil,4245
10,Silver,1745
10,Wheat,-461
10,Copper,885
11,Gold,3104
11,Oil,3167
11,Silver,920
11,Wheat,162
11,Copper,-1516
12,Gold,-546
12,Oil,2773
12,Silver,1272
12,Wheat,3591
12,Copper,-903
13,Gold,4045
13,Oil,2589
13,Silver,2179
13,Wheat,-847
13,Copper,3637
14,Gold,6
14,Oil,-2351
14,Silver,-590
14,Wheat,205
14,Copper,2151
15,Gold,1294
15,Oil,-1474
15,Silver,1909
15,Wheat,1680
15,Copper,3180
16,Gold,5219
16,Oil,2996
16,Silver,4040
16,Wheat,-2016
16,Copper,-371
17,Gold,5266
17,Oil,996
17,Silver,-2140
17,Wheat,481
17,Copper,4047
18,Gold,3132
18,Oil,1890
18,Silver,2202
18,Wheat,-1619
18,Copper,2655
19,Gold,5116
19,Oil,-1944
19,Silver,-1221
19,Wheat,541
19,Copper,3304
20,Gold,4100
20,Oil,-2211
20,Silver,-248
20,Wheat,3613
20,Copper,1137
21,Gold,4518
21,Oil,-3680
21,Silver,791
21,Wheat,17
21,Copper,1179
22,Gold,3900
22,Oil,-335
22,Silver,54
22,Wheat,3539
22,Copper,1534
23,Gold,2835
23,Oil,-2088
23,Silver,-329
23,Wheat,1150
23,Copper,-2260
24,Gold,699
24,Oil,326
24,Silver,-1386
24,Wheat,-2484
24,Copper,3038
25,Gold,4024
25,Oil,4091
25,Silver,-1819
25,Wheat,-2250
25,Copper,-1591
26,Gold,3835
26,Oil,-961
26,Silver,751
26,Wheat,1518
26,Copper,-1011
27,Gold,1133
27,Oil,360
27,Silver,-792
27,Wheat,-42
27,Copper,3442
28,Gold,1482
28,Oil,232
28,Silver,680
28,Wheat,-1882
28,Copper,2553
