Day,Commodity,Profit
1,Gold,2312
1,Oil,3502
1,Silver,-2417
1,Wheat,4218
1,Copper,4260
2,Gold,5476
2,Oil,-54
2,Silver,518
2,Wheat,-914
2,Copper,-287
3,Gold,3536
3,Oil,1073
3,Silver,-1176
3,Wheat,556
3,Copper,-1483
4,Gold,2446
4,Oil,-362
4,Silver,2104
4,Wheat,2638
4,Copper,-1072
5,Gold,3911
5,Oil,2031
5,Silver,-970
5,Wheat,407
5,Copper,3546
6,Gold,4903
6,Oil,-1753
6,Silver,1850
6,Wheat,3524
6,Copper,876
7,Gold,3692
7,Oil,-2572
7,Silver,-1136
7,Wheat,-1287
7,Copper,-815
8,Gold,4789
8,Oil,-1863
8,Silver,-944
8,Wheat,4357
8,Copper,298
9,Gold,1538
9,Oil,-2308
9,Silver,1258
9,Wheat,281
9,Copper,-2280
10,Gold,3083
10,Oil,3158
10,Silver,3599
10,Wheat,903
10,Copper,-2472
11,Gold,-1046
11,Oil,2938
11,Silver,-1159
11,Wheat,3814
11,Copper,2252
12,Gold,365
12,Oil,-153
12,Silver,-1685
12,Wheat,2845
12,Copper,895
13,Gold,-233
13,Oil,3082
13,Silver,2235
13,Wheat,-1012
13,Copper,3534
14,Gold,1972
14,Oil,-4795
14,Silver,1789
14,Wheat,2382
14,Copper,3311
15,Gold,5657
15,Oil,202
15,Silver,4111
15,Wheat,-2171
15,Copper,-597
16,Gold,-119
16,Oil,1589
16,Silver,-728
16,Wheat,3539
16,Copper,4069
17,Gold,5093
17,Oil,2047
17,Silver,2986
17,Wheat,-978
17,Copper,-389
18,Gold,3721
18,Oil,1052
18,Silver,1745
18,Wheat,-1437
18,Copper,-2160
19,Gold,244
19,Oil,-32
19,Silver,4317
19,Wheat,-2424
19,Copper,-1269
20,Gold,776
20,Oil,364
20,Silver,1916
20,Wheat,301
20,Copper,-1215
21,Gold,2062
21,Oil,-4048
21,Silver,-2395
21,Wheat,-2096
21,Copper,-2002
22,Gold,4730
22,Oil,1146
22,Silver,-1857
22,Wheat,679
22,Copper,4046
23,Gold,370
23,Oil,3962
23,Silver,-2405
23,Wheat,3827
23,Copper,3335
24,Gold,1912
24,Oil,-736
24,Silver,3059
24,Wheat,1698
24,Copper,3736
25,Gold,-105
25,Oil,1438
25,Silver,2594
25,Wheat,-1996
25,Copper,-2387
26,Gold,4029
26,Oil,1528
26,Silver,168
26,Wheat,3824
26,Copper,2497
27,Gold,2347
27,Oil,2004
27,Silver,-849
27,Wheat,484
27,Copper,3798
28,Gold,4330
28,Oil,-978
28,Silver,-1523
28,Wheat,2059
28,Copper,-1274
