Day,Commodity,Profit
1,Gold,4729
1,Oil,3311
1,Silver,2526
1,Wheat,3849
1,Copper,1193
2,Gold,2328
2,Oil,1476
2,Silver,-1639
2,Wheat,4186
2,Copper,1387
3,Gold,703
3,Oil,2315
3,Silver,-2123
3,Wheat,3169
3,Copper,-1070
4,Gold,3055
4,Oil,-947
4,Silver,-708
4,Wheat,6452
4,Copper,-1870
5,Gold,5408
5,Oil,2274
5,Silver,4154
5,Wheat,6891
5,Copper,2043
6,Gold,609
6,Oil,-1047
6,Silver,-1419
6,Wheat,1736
6,Copper,2758
7,Gold,-1062
7,Oil,81
7,Silver,-1665
7,Wheat,1356
7,Copper,-2383
8,Gold,5103
8,Oil,-2020
8,Silver,-359
8,Wheat,1299
8,Copper,4291
9,Gold,3267
9,Oil,-54
9,Silver,4393
9,Wheat,6972
9,Copper,-2394
10,Gold,2844
10,Oil,2483
10,Silver,2289
10,Wheat,2141
10,Copper,272
11,Gold,4108
11,Oil,-1737
11,Silver,-2295
11,Wheat,406
11,Copper,2802
12,Gold,2274
12,Oil,-1683
12,Silver,32
12,Wheat,3934
12,Copper,-1927
13,Gold,-499
13,Oil,642
13,Silver,-1223
13,Wheat,3996
13,Copper,186
14,Gold,2746
14,Oil,-640
14,Silver,2899
14,Wheat,1477
14,Copper,2690
15,Gold,5695
15,Oil,1788
15,Silver,574
15,Wheat,7285
15,Copper,-465
16,Gold,2265
16,Oil,-1320
16,Silver,1043
16,Wheat,5913
16,Copper,4359
17,Gold,1825
17,Oil,3264
17,Silver,-655
17,Wheat,3496
17,Copper,-2387
18,Gold,2682
18,Oil,316
18,Silver,-1530
18,Wheat,6018
18,Copper,1415
19,Gold,5640
19,Oil,514
19,Silver,-1519
19,Wheat,5284
19,Copper,-262
20,Gold,-479
20,Oil,1809
20,Silver,-842
20,Wheat,515
20,Copper,-1648
21,Gold,2197
21,Oil,-1329
21,Silver,149
21,Wheat,4869
21,Copper,1550
22,Gold,4214
22,Oil,-1007
22,Silver,-535
22,Wheat,6441
22,Copper,-304
23,Gold,2402
23,Oil,-2299
23,Silver,-1294
23,Wheat,1296
23,Copper,-1101
24,Gold,2024
24,Oil,-587
24,Silver,-1608
24,Wheat,1842
24,Copper,3459
25,Gold,2240
25,Oil,2883
25,Silver,-2395
25,Wheat,1839
25,Copper,2323
26,Gold,2560
26,Oil,947
26,Silver,1615
26,Wheat,3013
26,Copper,2116
27,Gold,2093
27,Oil,942
27,Silver,-266
27,Wheat,3643
27,Copper,-2059
28,Gold,413
28,Oil,-1326
28,Silver,3337
28,Wheat,6169
28,Copper,-1706
