Day,Commodity,Profit
1,Gold,4644
1,Oil,-1343
1,Silver,3995
1,Wheat,3571
1,Copper,-589
2,Gold,4730
2,Oil,-2135
2,Silver,4124
2,Wheat,4248
2,Copper,-1359
3,Gold,-939
3,Oil,-2207
3,Silver,-1321
3,Wheat,596
3,Copper,976
4,Gold,3647
4,Oil,947
4,Silver,-2299
4,Wheat,-1082
4,Copper,-1236
5,Gold,4411
5,Oil,1678
5,Silver,1732
5,Wheat,-1319
5,Copper,1529
6,Gold,5616
6,Oil,-1642
6,Silver,419
6,Wheat,3625
6,Copper,-1887
7,Gold,4974
7,Oil,-5423
7,Silver,-2317
7,Wheat,-1912
7,Copper,4110
8,Gold,5868
8,Oil,402
8,Silver,-1418
8,Wheat,456
8,Copper,302
9,Gold,635
9,Oil,-88
9,Silver,-896
9,Wheat,1936
9,Copper,215
10,Gold,2224
10,Oil,-1921
10,Silver,216
10,Wheat,-1169
10,Copper,-442
11,Gold,2770
11,Oil,2023
11,Silver,-1111
11,Wheat,2067
11,Copper,3362
12,Gold,-19
12,Oil,651
12,Silver,-2299
12,Wheat,1140
12,Copper,-1299
13,Gold,998
13,Oil,-1384
13,Silver,3810
13,Wheat,3100
13,Copper,-1235
14,Gold,3450
14,Oil,-684
14,Silver,2415
14,Wheat,-429
14,Copper,3165
15,Gold,994
15,Oil,-126
15,Silver,3255
15,Wheat,-2482
15,Copper,1739
16,Gold,3525
16,Oil,519
16,Silver,3328
16,Wheat,785
16,Copper,2030
17,Gold,557
17,Oil,586
17,Silver,-1674
17,Wheat,-1608
17,Copper,2745
18,Gold,3317
18,Oil,-1109
18,Silver,1300
18,Wheat,4079
18,Copper,1610
19,Gold,413
19,Oil,-1886
19,Silver,2925
19,Wheat,4346
19,Copper,2305
20,Gold,-207
20,Oil,4027
20,Silver,-1617
20,Wheat,877
20,Copper,-1255
21,Gold,5112
21,Oil,-810
21,Silver,-2128
21,Wheat,1179
21,Copper,2713
22,Gold,-109
22,Oil,810
22,Silver,-386
22,Wheat,-161
22,Copper,-1416
23,Gold,3192
23,Oil,1769
23,Silver,-656
23,Wheat,4101
23,Copper,3579
24,Gold,344
24,Oil,2718
24,Silver,-1698
24,Wheat,996
24,Copper,-1294
25,Gold,1181
25,Oil,-502
25,Silver,4085
25,Wheat,-1520
25,Copper,2998
26,Gold,1472
26,Oil,2936
26,Silver,744
26,Wheat,2072
26,Copper,3977
27,Gold,4962
27,Oil,2324
27,Silver,3938
27,Wheat,-343
27,Copper,-752
28,Gold,1960
28,Oil,-3501
28,Silver,37
28,Wheat,-2458
28,Copper,-111
