Day,Commodity,Profit
1,Gold,1364
1,Oil,517
1,Silver,7423
1,Wheat,-2169
1,Copper,934
2,Gold,454
2,Oil,-1185
2,Silver,1670
2,Wheat,-1330
2,Copper,4197
3,Gold,1410
3,Oil,-598
3,Silver,3726
3,Wheat,975
3,Copper,-855
4,Gold,-987
4,Oil,-1273
4,Silver,1931
4,Wheat,1710
4,Copper,-2242
5,Gold,5382
5,Oil,293
5,Silver,4212
5,Wheat,116
5,Copper,-2166
6,Gold,877
6,Oil,-1684
6,Silver,4970
6,Wheat,-1284
6,Copper,2238
7,Gold,589
7,Oil,-4578
7,Silver,5668
7,Wheat,1861
7,Copper,440
8,Gold,197
8,Oil,3572
8,Silver,3327
8,Wheat,-2189
8,Copper,-1749
9,Gold,-331
9,Oil,1822
9,Silver,2698
9,Wheat,2001
9,Copper,1630
10,Gold,4284
10,Oil,859
10,Silver,5292
10,Wheat,-2376
10,Copper,3871
11,Gold,3159
11,Oil,-1259
11,Silver,5820
11,Wheat,1855
11,Copper,165
12,Gold,3717
12,Oil,3746
12,Silver,7403
12,Wheat,-1159
12,Copper,1247
13,Gold,2296
13,Oil,1101
13,Silver,1201
13,Wheat,545
13,Copper,2927
14,Gold,-876
14,Oil,-3518
14,Silver,3896
14,Wheat,3022
14,Copper,4186
15,Gold,3331
15,Oil,2890
15,Silver,5868
15,Wheat,-2361
15,Copper,115
16,Gold,2752
16,Oil,1085
16,Silver,1374
16,Wheat,113
16,Copper,65
17,Gold,2090
17,Oil,4058
17,Silver,3445
17,Wheat,-1473
17,Copper,610
18,Gold,3531
18,Oil,2599
18,Silver,1464
18,Wheat,2171
18,Copper,-1601
19,Gold,2882
19,Oil,-1528
19,Silver,1789
19,Wheat,2536
19,Copper,-1074
20,Gold,-828
20,Oil,-2081
20,Silver,3530
20,Wheat,4340
20,Copper,-727
21,Gold,3201
21,Oil,-5910
21,Silver,4771
21,Wheat,1589
21,Copper,1342
22,Gold,-618
22,Oil,968
22,Silver,2802
22,Wheat,-681
22,Copper,199
23,Gold,5004
23,Oil,3927
23,Silver,2328
23,Wheat,639
23,Copper,2318
24,Gold,3350
24,Oil,-521
24,Silver,6619
24,Wheat,1363
24,Copper,-1023
25,Gold,607
25,Oil,2035
25,Silver,5705
25,Wheat,2015
25,Copper,2741
26,Gold,652
26,Oil,-1195
26,Silver,6511
26,Wheat,3499
26,Copper,1231
27,Gold,5857
27,Oil,3717
27,Silver,1118
27,Wheat,2829
27,Copper,-904
28,Gold,-501
28,Oil,-276
28,Silver,7291
28,Wheat,-1929
28,Copper,2092
