Day,Commodity,Profit
1,Gold,4896
1,Oil,714
1,Silver,1406
1,Wheat,-1741
1,Copper,692
2,Gold,4539
2,Oil,2762
2,Silver,-1508
2,Wheat,3557
2,Copper,1029
3,Gold,783
3,Oil,2584
3,Silver,-2441
3,Wheat,3653
3,Copper,1258
4,Gold,174
4,Oil,2635
4,Silver,-2383
4,Wheat,415
4,Copper,-1189
5,Gold,5794
5,Oil,3061
5,Silver,-290
5,Wheat,-1317
5,Copper,672
6,Gold,213
6,Oil,55
6,Silver,141
6,Wheat,2638
6,Copper,2421
7,Gold,1490
7,Oil,-3179
7,Silver,-2179
7,Wheat,401
7,Copper,-491
8,Gold,4558
8,Oil,2419
8,Silver,1250
8,Wheat,-2281
8,Copper,341
9,Gold,4399
9,Oil,712
9,Silver,1578
9,Wheat,-1377
9,Copper,2472
10,Gold,5186
10,Oil,3767
10,Silver,564
10,Wheat,3152
10,Copper,4333
11,Gold,3551
11,Oil,4267
11,Silver,-54
11,Wheat,4024
11,Copper,1984
12,Gold,-17
12,Oil,1586
12,Silver,1198
12,Wheat,3168
12,Copper,-2409
13,Gold,2719
13,Oil,3685
13,Silver,511
13,Wheat,-610
13,Copper,854
14,Gold,2764
14,Oil,-4854
14,Silver,2552
14,Wheat,1663
14,Copper,285
15,Gold,2927
15,Oil,-80
15,Silver,4277
15,Wheat,2375
15,Copper,-628
16,Gold,2303
16,Oil,118
16,Silver,-1702
16,Wheat,-1272
16,Copper,-979
17,Gold,3273
17,Oil,-2121
17,Silver,3731
17,Wheat,3294
17,Copper,3120
18,Gold,5082
18,Oil,-1493
18,Silver,3896
18,Wheat,670
18,Copper,-1475
19,Gold,1935
19,Oil,-1975
19,Silver,-859
19,Wheat,2899
19,Copper,-739
20,Gold,-1091
20,Oil,-1717
20,Silver,261
20,Wheat,-364
20,Copper,2314
21,Gold,939
21,Oil,-1356
21,Silver,1909
21,Wheat,2542
21,Copper,-232
22,Gold,3925
22,Oil,2194
22,Silver,43
22,Wheat,340
22,Copper,80
23,Gold,2108
23,Oil,-2325
23,Silver,2259
23,Wheat,-1509
23,Copper,2322
24,Gold,2489
24,Oil,1106
24,Silver,2756
24,Wheat,84
24,Copper,-570
25,Gold,989
25,Oil,-1686
25,Silver,-1098
25,Wheat,3111
25,Copper,-125
26,Gold,4406
26,Oil,-2002
26,Silver,1599
26,Wheat,-1446
26,Copper,-1346
27,Gold,3223
27,Oil,-887
27,Silver,3244
27,Wheat,-304
27,Copper,-772
28,Gold,5886
28,Oil,-4610
28,Silver,436
28,Wheat,-2114
28,Copper,-1848
