Day,Commodity,Profit
1,Gold,-261
1,Oil,2752
1,Silver,569
1,Wheat,3532
1,Copper,1067
2,Gold,-339
2,Oil,2237
2,Silver,328
2,Wheat,912
2,Copper,-1936
3,Gold,1594
3,Oil,1910
3,Silver,3186
3,Wheat,3670
3,Copper,-2471
4,Gold,3912
4,Oil,1774
4,Silver,258
4,Wheat,-2341
4,Copper,4347
5,Gold,511
5,Oil,854
5,Silver,1871
5,Wheat,2898
5,Copper,-1752
6,Gold,1485
6,Oil,1983
6,Silver,-317
6,Wheat,3994
6,Copper,223
7,Gold,5369
7,Oil,-1139
7,Silver,-44
7,Wheat,-2437
7,Copper,1477
8,Gold,5501
8,Oil,-1006
8,Silver,-2099
8,Wheat,660
8,Copper,-138
9,Gold,4778
9,Oil,-1011
9,Silver,2467
9,Wheat,4432
9,Copper,3506
10,Gold,5040
10,Oil,-1790
10,Silver,4121
10,Wheat,-1784
10,Copper,3527
11,Gold,855
11,Oil,1773
11,Silver,-288
11,Wheat,4416
11,Copper,3132
12,Gold,2124
12,Oil,-2411
12,Silver,661
12,Wheat,4148
12,Copper,1612
13,Gold,5071
13,Oil,4446
13,Silver,4379
13,Wheat,672
13,Copper,4423
14,Gold,1220
14,Oil,-6096
14,Silver,-2071
14,Wheat,-1728
14,Copper,-1559
15,Gold,4127
15,Oil,3608
15,Silver,4442
15,Wheat,-1810
15,Copper,-589
16,Gold,5097
16,Oil,-1263
16,Silver,-2486
16,Wheat,3127
16,Copper,3677
17,Gold,926
17,Oil,-876
17,Silver,2783
17,Wheat,-984
17,Copper,3728
18,Gold,1788
18,Oil,2862
18,Silver,115
18,Wheat,-1894
18,Copper,-556
19,Gold,-931
19,Oil,3849
19,Silver,634
19,Wheat,427
19,Copper,-1858
20,Gold,2705
20,Oil,-890
20,Silver,-348
20,Wheat,1979
20,Copper,1355
21,Gold,4231
21,Oil,21
21,Silver,3670
21,Wheat,-804
21,Copper,960
22,Gold,-90
22,Oil,-850
22,Silver,4220
22,Wheat,974
22,Copper,4137
23,Gold,2535
23,Oil,2298
23,Silver,46
23,Wheat,1301
23,Copper,-498
24,Gold,2219
24,Oil,500
24,Silver,4074
24,Wheat,1728
24,Copper,-419
25,Gold,5113
25,Oil,3439
25,Silver,2411
25,Wheat,721
25,Copper,922
26,Gold,3451
26,Oil,2664
26,Silver,-1757
26,Wheat,-2415
26,Copper,4362
27,Gold,1617
27,Oil,4469
27,Silver,-1558
27,Wheat,-434
27,Copper,4114
28,Gold,1167
28,Oil,-2490
28,Silver,-273
28,Wheat,2829
28,Copper,-1381
