Day,Commodity,Profit
1,Gold,2561
1,Oil,3692
1,Silver,3339
1,Wheat,1010
1,Copper,3475
2,Gold,2954
2,Oil,3480
2,Silver,3613
2,Wheat,4216
2,Copper,-27
3,Gold,945
3,Oil,1020
3,Silver,-1811
3,Wheat,-478
3,Copper,889
4,Gold,405
4,Oil,1941
4,Silver,2270
4,Wheat,2749
4,Copper,1695
5,Gold,-1021
5,Oil,2466
5,Silver,280
5,Wheat,3455
5,Copper,-248
6,Gold,2871
6,Oil,-2402
6,Silver,3085
6,Wheat,64
6,Copper,1005
7,Gold,1006
7,Oil,-2738
7,Silver,-1609
7,Wheat,-407
7,Copper,263
8,Gold,5065
8,Oil,-735
8,Silver,1971
8,Wheat,3233
8,Copper,-2440
9,Gold,5488
9,Oil,-2426
9,Silver,2824
9,Wheat,3325
9,Copper,564
10,Gold,1
10,Oil,-1195
10,Silver,-986
10,Wheat,2894
10,Copper,22
11,Gold,2198
11,Oil,1663
11,Silver,3207
11,Wheat,-1749
11,Copper,1211
12,Gold,5372
12,Oil,2358
12,Silver,-1808
12,Wheat,438
12,Copper,617
13,Gold,4744
13,Oil,-1601
13,Silver,2133
13,Wheat,2145
13,Copper,3674
14,Gold,2345
14,Oil,-6081
14,Silver,3030
14,Wheat,-1612
14,Copper,3280
15,Gold,3468
15,Oil,-1126
15,Silver,-2207
15,Wheat,3019
15,Copper,-1161
16,Gold,1471
16,Oil,-2034
16,Silver,-879
16,Wheat,-464
16,Copper,1660
17,Gold,5661
17,Oil,3193
17,Silver,3244
17,Wheat,4498
17,Copper,2466
18,Gold,4888
18,Oil,-770
18,Silver,2860
18,Wheat,2662
18,Copper,2423
19,Gold,-197
19,Oil,2858
19,Silver,3240
19,Wheat,777
19,Copper,-1273
20,Gold,4329
20,Oil,527
20,Silver,4350
20,Wheat,3199
20,Copper,605
21,Gold,4786
21,Oil,-4377
21,Silver,3034
21,Wheat,3958
21,Copper,-1908
22,Gold,-897
22,Oil,186
22,Silver,101
22,Wheat,1232
22,Copper,-1679
23,Gold,1415
23,Oil,-2487
23,Silver,-876
23,Wheat,-233
23,Copper,569
24,Gold,5038
24,Oil,4327
24,Silver,-2256
24,Wheat,-311
24,Copper,466
25,Gold,4031
25,Oil,-2449
25,Silver,1133
25,Wheat,956
25,Copper,3408
26,Gold,3107
26,Oil,3683
26,Silver,1467
26,Wheat,-2403
26,Copper,1693
27,Gold,-157
27,Oil,-1921
27,Silver,1807
27,Wheat,2129
27,Copper,3729
28,Gold,-325
28,Oil,-3453
28,Silver,3681
28,Wheat,-188
28,Copper,4366
