Day,Commodity,Profit
1,Gold,3674
1,Oil,4391
1,Silver,-602
1,Wheat,3998
1,Copper,4472
2,Gold,2532
2,Oil,3532
2,Silver,-1054
2,Wheat,3693
2,Copper,-2165
3,Gold,4697
3,Oil,4363
3,Silver,1321
3,Wheat,-1364
3,Copper,-1388
4,Gold,2719
4,Oil,1732
4,Silver,2953
4,Wheat,388
4,Copper,2531
5,Gold,761
5,Oil,139
5,Silver,-2258
5,Wheat,-1694
5,Copper,-1202
6,Gold,-2
6,Oil,-1496
6,Silver,3848
6,Wheat,3321
6,Copper,-1515
7,Gold,1590
7,Oil,-1823
7,Silver,1060
7,Wheat,2240
7,Copper,220
8,Gold,5258
8,Oil,2853
8,Silver,1663
8,Wheat,359
8,Copper,-774
9,Gold,2058
9,Oil,-1796
9,Silver,993
9,Wheat,-881
9,Copper,1141
10,Gold,597
10,Oil,-1543
10,Silver,-1193
10,Wheat,2757
10,Copper,-1059
11,Gold,3456
11,Oil,547
11,Silver,-1586
11,Wheat,4074
11,Copper,-1482
12,Gold,4176
12,Oil,-248
12,Silver,-1332
12,Wheat,290
12,Copper,3895
13,Gold,721
13,Oil,1646
13,Silver,2141
13,Wheat,3762
13,Copper,1416
14,Gold,5057
14,Oil,-6460
14,Silver,-327
14,Wheat,-222
14,Copper,1490
15,Gold,1624
15,Oil,4139
15,Silver,-2498
15,Wheat,187
15,Copper,3639
16,Gold,5451
16,Oil,1644
16,Silver,2892
16,Wheat,2096
16,Copper,-2287
17,Gold,5036
17,Oil,496
17,Silver,2486
17,Wheat,3308
17,Copper,3793
18,Gold,890
18,Oil,-2319
18,Silver,-1985
18,Wheat,3322
18,Copper,2365
19,Gold,310
19,Oil,3794
19,Silver,-708
19,Wheat,464
19,Copper,3465
20,Gold,1295
20,Oil,1175
20,Silver,1291
20,Wheat,-2238
20,Copper,-2200
21,Gold,4469
21,Oil,-254
21,Silver,1743
21,Wheat,-1923
21,Copper,2109
22,Gold,3530
22,Oil,-1745
22,Silver,3921
22,Wheat,127
22,Copper,-709
23,Gold,3750
23,Oil,987
23,Silver,4077
23,Wheat,158
23,Copper,1737
24,Gold,5713
24,Oil,-2371
24,Silver,2318
24,Wheat,-1616
24,Copper,2046
25,Gold,546
25,Oil,2582
25,Silver,3194
25,Wheat,-27
25,Copper,-1378
26,Gold,-6
26,Oil,944
26,Silver,2297
26,Wheat,3286
26,Copper,-914
27,Gold,5054
27,Oil,1339
27,Silver,201
27,Wheat,-1153
27,Copper,932
28,Gold,1930
28,Oil,-400
28,Silver,-1421
28,Wheat,436
28,Copper,-658
